DATASET_ID,COMMENT,FIELD,FORMAT,LINK,MIME_TYPE,TITLE
23,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/16d7138f9f804fc28abbc17b3a5c4977/info/metadata/metadata.xml?format=default&amp;output=html,,australia wildfire and population
24,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=c40baaeeadbb4f8d8f0fb5b50e2c0412,,layer map
24,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Pelly_Crossing_20k/,,layer map
24,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/933831287c494439aa3242966eb59dab/info/metadata/metadata.xml?format=default&amp;output=html,,layer map
25,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=6281b90e380049ee9558ee92b77d61c3,,Yukon Land Tenure Basemap
25,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Ross_River_12k/,,Yukon Land Tenure Basemap
25,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/53c06fc942ec47c798320ef181c1370e/info/metadata/metadata.xml?format=default&amp;output=html,,Yukon Land Tenure Basemap
26,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=7825eb836a334a4c849403f58bafa741,,NTS viewer
26,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Yukon_Tourism_Regions/,,NTS viewer
26,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/af95a5d7d021492dbda72f1518c9daf8/info/metadata/metadata.xml?format=default&amp;output=html,,NTS viewer
27,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=108a2e9ecb9d4a618292814a2a892445,,DDRA CODEX - General Interest-Copy
27,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Areas_Withdrawn_from_Staking_50k/,,DDRA CODEX - General Interest-Copy
27,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/ea699f8b7cfc45ecbcc4e9f8f6d6899e/info/metadata/metadata.xml?format=default&amp;output=html,,DDRA CODEX - General Interest-Copy
28,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=db451f666b56455aa4f4aa8e9878fa5b,,Données sur les lieux pollués
28,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Coal_Exploration_Licenses_50k/,,Données sur les lieux pollués
28,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/5658d98bf8584a21b521b71dff8cefe2/info/metadata/metadata.xml?format=default&amp;output=html,,Données sur les lieux pollués
29,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=378e60e22ea74955bd9dcaa6e869c5ab,,MAP Végétation 40k
29,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Land_Notations/,,MAP Végétation 40k
29,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/bf0006f633ca4c9394a06e4845ca329f/info/metadata/metadata.xml?format=default&amp;output=html,,MAP Végétation 40k
30,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=d09a117e3f424d1a8fbf060e9411270d,,MAP Végétation 5k
30,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Planning/Community_Boundaries/,,MAP Végétation 5k
30,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e6cb4fea1b624896b797f94bdc9b2f22/info/metadata/metadata.xml?format=default&amp;output=html,,MAP Végétation 5k
31,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=838705a6bcd1485abf64dce2e9ba6662,,MAP Humidité du sol
31,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Planning/Community_Zoning/,,MAP Humidité du sol
31,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e099e13a87454fb2a0208bf2f46121c8/info/metadata/metadata.xml?format=default&amp;output=html,,MAP Humidité du sol
32,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=e82cfb06be8946409359c7f699e75a64,,Project Area of Interest map
32,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Condos_Surveyed/,,Project Area of Interest map
32,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/5a94dc2ff3034b9892a6ccd03644824d/info/metadata/metadata.xml?format=default&amp;output=html,,Project Area of Interest map
33,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=8d766afd829b4014bb89cb367c9aaad1,,Israel Historical Sites and Travel
33,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/First_Nations/First_Nation_Settlement_Lands_250k/,,Israel Historical Sites and Travel
33,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/601a1b7cb48f42c6a28422e69924b866/info/metadata/metadata.xml?format=default&amp;output=html,,Israel Historical Sites and Travel
34,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=75a58fd079654a0aaa31914f801dbe73,,Major Faults of the Pacific Northwest
34,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/First_Nations/First_Nation_Settlement_Lands_Surveyed/,,Major Faults of the Pacific Northwest
34,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/4084dc6a84f84db7b31e23bc2e44b183/info/metadata/metadata.xml?format=default&amp;output=html,,Major Faults of the Pacific Northwest
35,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=bae82ebea942452bb319ce28c3487fe3,,Une Enquete en la Geographie - Aylin Arslan
35,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/First_Nations/First_Nation_Settlement_Lands_Unsurveyed/,,Une Enquete en la Geographie - Aylin Arslan
35,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/08c5c0ffb72d463db5460d304875b1ea/info/metadata/metadata.xml?format=default&amp;output=html,,Une Enquete en la Geographie - Aylin Arslan
36,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=79179f369f4a4c89a55f42e7fd6f1300,,Indian River wetlands map
36,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Planning/Development_Areas/,,Indian River wetlands map
36,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e23294f1534849e09d2d44d2f245e22c/info/metadata/metadata.xml?format=default&amp;output=html,,Indian River wetlands map
37,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=f075c8cdab584c99bf10e5992a2d3163,,Asma Chalya My Canada
37,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Development_Hold_Areas/,,Asma Chalya My Canada
37,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/00ee7d06d3174f09a895a598811aadd8/info/metadata/metadata.xml?format=default&amp;output=html,,Asma Chalya My Canada
38,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=cbd1b0f12c8240689cbd88cb67c199ff,,Lake District Ice Coverage *
38,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Easements_Line_Surveyed/,,Lake District Ice Coverage *
38,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e7554493267a4d0385a8059944218ab9/info/metadata/metadata.xml?format=default&amp;output=html,,Lake District Ice Coverage *
39,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=2a06d8bf051e445aad7615e0aaeb6a0f,,Beaver River Planning Area Web Map
39,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Easements_Polygon_Surveyed/,,Beaver River Planning Area Web Map
39,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/494827019c7e4504bf854f20d1c02bf2/info/metadata/metadata.xml?format=default&amp;output=html,,Beaver River Planning Area Web Map
40,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=38bc07bba2114236bb20c0e4178752c8,,Fire Regions
40,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Fire_Regions/,,Fire Regions
40,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/38bc07bba2114236bb20c0e4178752c8/info/metadata/metadata.xml?format=default&amp;output=html,,Fire Regions
41,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=340b32e7791b4db6b19519a7f916600b,,First Nation Traditional Territories Core Area
41,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/First_Nations/First_Nation_Traditional_Territories_Core_Area/,,First Nation Traditional Territories Core Area
41,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/340b32e7791b4db6b19519a7f916600b/info/metadata/metadata.xml?format=default&amp;output=html,,First Nation Traditional Territories Core Area
42,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=38c054b836ec4df4adb6d69e30aa90d9,,Mining districts - 50k
42,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Mining_Districts_50k/,,Mining districts - 50k
42,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/38c054b836ec4df4adb6d69e30aa90d9/info/metadata/metadata.xml?format=default&amp;output=html,,Mining districts - 50k
43,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=7bbcd017ffdc45b194ec4bb491aa95aa,,Mining districts - 1M
43,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Mining_Districts_1M/,,Mining districts - 1M
43,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/7bbcd017ffdc45b194ec4bb491aa95aa/info/metadata/metadata.xml?format=default&amp;output=html,,Mining districts - 1M
44,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=2e25caf0eee54fa1b28ba5453cd7bc89,,Natural Resource Officer Districts - 1M
44,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Natural_Resource_Officer_Districts_1M/,,Natural Resource Officer Districts - 1M
44,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/2e25caf0eee54fa1b28ba5453cd7bc89/info/metadata/metadata.xml?format=default&amp;output=html,,Natural Resource Officer Districts - 1M
45,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=c6e08b7c4a8243aaabbc8b4e38e5c9ff,,Natural Resource Officer Subdistricts - 1M
45,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Natural_Resource_Officer_Subdistricts_1M/,,Natural Resource Officer Subdistricts - 1M
45,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/c6e08b7c4a8243aaabbc8b4e38e5c9ff/info/metadata/metadata.xml?format=default&amp;output=html,,Natural Resource Officer Subdistricts - 1M
46,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=ef08a0acd77d4e5a9eaa2ff0703697c9,,Whitehorse Contours - 10k
46,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Elevation/Whitehorse_Contours_10k/,,Whitehorse Contours - 10k
46,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/ef08a0acd77d4e5a9eaa2ff0703697c9/info/metadata/metadata.xml?format=default&amp;output=html,,Whitehorse Contours - 10k
47,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=248864234af54b4e80e4979ab500f85b,,YESAA Mapped Communities - 50k
47,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/YESAA_Mapped_Communities_50k/,,YESAA Mapped Communities - 50k
47,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/248864234af54b4e80e4979ab500f85b/info/metadata/metadata.xml?format=default&amp;output=html,,YESAA Mapped Communities - 50k
48,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=6d27e9facf7843e1a7b51241832dede9,,Parks and Protected Areas Line - Surveyed
48,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Parks_and_Protected_Areas/Parks_and_Protected_Areas_Line_Surveyed/,,Parks and Protected Areas Line - Surveyed
48,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/6d27e9facf7843e1a7b51241832dede9/info/metadata/metadata.xml?format=default&amp;output=html,,Parks and Protected Areas Line - Surveyed
49,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=15101df562e64e279dcc7c1119c0f417,,Communities and subdivisions - surveyed
49,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Communities_and_Subdivisions_Surveyed/,,Communities and subdivisions - surveyed
49,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/15101df562e64e279dcc7c1119c0f417/info/metadata/metadata.xml?format=default&amp;output=html,,Communities and subdivisions - surveyed
50,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=2a65ccced3a2421783eeddae32b7d58b,,Yukon Borders - Surveyed
50,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Yukon_Borders_Surveyed/,,Yukon Borders - Surveyed
